,AGE07,EDCL07,MARRIED07,KIDS07,LIFECL07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,NETWORTH07,TrueRiskTol
5168,40,4,1,2,3,1,90522.98595,2,3,4,164867.14566,32.44974931217227
5169,40,4,1,2,3,1,90522.98595,2,3,4,174187.52449,32.613971113161924
5191,63,4,2,0,5,1,61768.625707,4,3,2,67417.406924,4.626320664998069
5192,63,4,2,0,5,1,63898.578318,4,3,2,54575.996081,5.050709144357277
5193,63,4,2,0,5,1,61768.625707,4,3,2,44323.57936,4.595986714510085
5194,63,4,2,0,5,1,62833.602012,4,3,2,49605.127368,4.609248802954357
5197,51,2,1,1,3,1,97977.820087,3,3,4,266459.27498,6.874779657124321
5198,51,2,1,1,3,1,97977.820087,3,3,4,298697.42978,6.990728106407939
5205,51,4,1,1,3,2,3759366.3577,2,3,4,85824119.53,1.6041642036477368
5225,46,2,1,0,2,1,109692.55945,3,3,5,468918.61528,15.186915652959835
5226,46,2,1,0,2,1,109692.55945,3,3,5,446239.02678,15.120065791364368
5228,46,2,1,0,2,1,109692.55945,3,3,5,489734.12802,15.186915652959835
5260,29,3,2,0,1,1,115017.44097,3,3,4,48776.649249,54.614646442644215
5261,29,3,2,0,1,1,115017.44097,3,3,4,48776.649249,54.69446100349816
5262,29,3,2,0,1,1,115017.44097,3,3,4,47741.0516,54.695502171390785
5263,29,3,2,0,1,1,115017.44097,3,3,4,47741.0516,54.697584732257646
5264,29,3,2,0,1,1,115017.44097,3,3,4,48673.089484,54.70590907612153
5280,57,1,1,0,5,1,6815.8483539,4,2,2,41423.905944,2.5930548779087257
5281,57,1,1,0,5,1,6496.3554623,4,2,2,41423.905944,2.5716019986597445
5321,54,4,1,0,2,1,862630.80729,2,3,2,35467148.269,1.6035154638407776
5322,54,4,1,0,2,1,960608.62737,2,3,2,36119574.788,1.7913392234777963
5324,54,4,1,0,2,1,1042611.8029,2,3,2,45553869.366,1.9233968404611557
5335,55,3,1,0,5,1,77743.270286,3,3,5,394769.82364,7.70499484280745
5336,55,3,1,0,5,1,78808.246592,3,3,5,394769.82364,7.757247645538971
5337,55,3,1,0,5,1,77743.270286,3,3,5,393734.226,7.70499484280745
5338,55,3,1,0,5,1,77743.270286,3,3,5,392698.62835,7.70499484280745
5339,55,3,1,0,5,1,77743.270286,3,3,5,394769.82364,7.70499484280745
5342,55,3,1,2,5,1,44729.004822,4,2,4,74564.066297,4.127076475611279
5343,55,3,1,2,5,1,42599.052212,4,2,4,74564.066297,3.8232625272628775
5355,55,4,2,1,5,1,70288.436149,2,3,4,322692.2273,6.103912367218335
5357,55,4,2,1,5,1,70288.436149,2,3,4,301255.35598,6.24462310925624
5359,55,4,2,1,5,1,62833.602012,2,3,4,301566.03527,5.756061867464071
5393,56,4,1,0,5,2,1980855.9278,3,3,4,11319082.299,5.158776927930388
5394,56,4,1,0,5,2,1980855.9278,3,3,4,15011298.596,3.9552848986005715
5396,57,4,1,0,6,3,186690.34632,1,2,4,824335.72828,8.090167205995385
5397,57,4,1,0,6,3,182110.94821,1,2,4,1621435.2384,8.290929689496306
5398,57,4,1,0,6,3,182110.94821,1,2,4,1733694.0235,8.016853360193164
5399,57,4,1,0,6,3,189991.77286,1,2,4,1579389.9739,8.327000030235158
5400,51,2,1,1,3,1,75613.317676,3,3,5,386671.45003,5.323213631280424
5401,51,2,1,1,3,1,56443.744181,3,3,5,387137.46897,4.593490831910843
5403,51,2,1,1,3,1,67093.507233,3,3,5,371841.6917,5.133028676996496
5404,51,2,1,1,3,1,74548.341371,3,3,5,388318.05029,5.192210553672696
5419,51,4,2,0,1,1,248139.47913,2,3,3,1545080.6238,7.256914529530073
5425,52,1,1,0,2,1,37274.170685,4,2,4,115676.25735,7.572938524406956
5426,52,1,1,0,2,1,37274.170685,4,2,4,116090.49641,8.281835997296561
5427,52,1,1,0,2,1,38339.146991,4,2,4,117022.53429,7.685202772337943
5428,52,1,1,0,2,1,37274.170685,4,2,4,132660.05879,7.927386781555491
5429,52,1,1,0,2,1,38339.146991,4,2,4,118161.6917,7.862426762079605
5430,68,4,2,0,6,3,23429.478716,4,3,5,150161.65905,0.7085358648340698
5431,68,4,2,0,6,3,17039.620885,4,3,5,148918.94187,0.7001735655994087
5432,68,4,2,0,6,3,19169.573495,4,3,5,146951.30634,0.6953848575258779
5433,68,4,2,0,6,3,22364.502411,4,3,5,150058.09928,0.706051298129695
5434,68,4,2,0,6,3,19169.573495,4,3,5,147158.42587,0.6953848575258779
5435,55,4,1,0,5,2,1948906.6387,3,3,5,13624322.665,8.66848545068975
5436,55,4,1,0,5,2,2172551.6628,3,3,5,13624322.665,9.109297155730626
5438,55,4,1,0,5,2,1895657.8234,3,3,5,13625358.263,8.563541679545814
5439,55,4,1,0,5,2,2098003.3214,3,3,5,13625358.263,8.962352142430781
5455,78,3,1,0,5,2,377108.1097,3,3,4,11506525.474,0.5335011709596176
5456,78,3,1,0,5,2,377108.1097,3,3,4,11507561.071,0.5335011709596176
5457,78,3,1,0,5,2,378173.08601,3,3,4,11509632.266,0.5335011709596176
5458,78,3,1,0,5,2,377108.1097,3,3,4,11501347.485,0.5335011709596176
5459,78,3,1,0,5,2,378173.08601,3,3,4,11502383.083,0.5335011709596176
5470,63,4,1,1,5,2,191695.73495,2,2,2,5800589.5493,1.7252718486742102
5471,63,4,1,1,5,2,191695.73495,2,2,2,5801728.7067,1.7249278449024046
5472,63,4,1,1,5,2,191695.73495,2,2,2,5800589.5493,1.7252718486742102
5473,63,4,1,1,5,2,191695.73495,2,2,2,5800589.5493,1.7252718486742102
5474,63,4,1,1,5,2,191695.73495,2,2,2,5801728.7067,1.7216633106753707
5475,28,2,1,0,2,1,74548.341371,3,3,2,34899.640758,43.8969229567737
5476,28,2,1,0,2,1,74548.341371,3,3,2,34899.640758,43.984285806078724
5477,28,2,1,0,2,1,74548.341371,3,3,2,34796.080993,43.907807705350336
5478,28,2,1,0,2,1,74548.341371,3,3,2,34899.640758,44.105481853177
5479,28,2,1,0,2,1,74548.341371,3,3,2,34899.640758,44.11656181185323
5490,61,3,2,0,6,3,12779.715664,4,2,4,120440.00653,1.3285625458353985
5491,61,3,2,0,6,3,12779.715664,4,2,4,117229.65382,1.3309247075255901
5492,61,3,2,0,6,3,12779.715664,4,2,4,110705.38863,1.3360932777242605
5493,61,3,2,0,6,3,12779.715664,4,2,4,117126.09406,1.3683257147875523
5494,61,3,2,0,6,3,12779.715664,4,2,4,123029.00065,1.3638530818108028
5497,58,3,1,2,5,1,143771.80121,3,3,4,683390.88831,3.6754910797986726
5505,57,4,1,0,5,1,94782.891171,3,2,1,355065.0098,3.020531609386447
5507,57,4,1,0,5,1,95847.867476,3,2,1,288921.38798,2.791930314569327
5508,57,4,1,0,5,1,84133.128118,3,2,1,609159.24886,2.609010115625158
5509,57,4,1,0,5,1,90522.98595,3,2,1,312439.81058,2.6335770247988037
5515,47,4,1,2,3,2,325882.74942,2,3,5,1889965.7087,10.289297703096643
5517,47,4,1,2,3,2,290738.53135,2,3,5,1778121.1626,8.241533099742817
5585,59,4,1,0,5,1,115017.44097,2,3,5,293074.13455,6.286604765744232
5586,59,4,1,0,5,1,115017.44097,2,3,5,327352.41672,6.297432061268931
5587,59,4,1,0,5,1,113952.46467,2,3,5,300530.43762,6.2439315925452465
5588,59,4,1,0,5,1,115017.44097,2,3,5,277954.40888,6.266554585526446
5589,59,4,1,0,5,1,113952.46467,2,3,5,309125.89811,6.267610078585708
5590,76,4,1,0,6,3,903099.90689,3,3,4,6960251.7962,0.46341849337481755
5591,76,4,1,0,6,3,644310.6647,3,3,4,6960251.7962,0.4634974140505843
5592,76,4,1,0,6,3,556982.60767,3,3,4,6963358.5892,0.4626034485376291
5593,76,4,1,0,6,3,584671.99161,3,3,4,6960251.7962,0.4887749112948073
5594,76,4,1,0,6,3,549527.77353,3,3,4,6960251.7962,0.464477915752452
5605,69,4,2,0,5,1,26624.407632,4,2,4,71218.050294,0.7596392836164705
5610,87,3,2,0,5,2,1188513.5567,1,3,5,326150398.53,0.5005233723169314
5611,87,3,2,0,5,2,1033559.5043,1,3,5,72894579.327,0.4741976243684385
5612,87,3,2,0,5,2,1492351.2966,1,3,5,237784818.81,0.4684248362628447
5613,87,3,2,0,5,2,1645707.8846,1,3,5,265282939.61,0.4622667952382673
5614,87,3,2,0,5,2,1419187.4244,1,3,5,101259495.36,0.45504069266327274
5637,30,2,1,0,2,1,78808.246592,2,2,4,51614.186806,49.68543327115747
5645,37,4,1,2,3,1,140576.8723,3,3,5,721190.20248,30.513258678437005
5646,37,4,1,2,3,1,149096.68274,3,3,5,382446.21163,31.461602033814756
5647,37,4,1,2,3,1,136316.96708,3,3,5,902523.35075,30.039087449035087
5648,37,4,1,2,3,1,145901.75383,3,3,5,907597.77923,31.105973145198476
5649,37,4,1,2,3,1,128862.13294,3,3,5,348064.36969,29.209288628801215
5650,48,3,1,1,3,1,97977.820087,3,3,4,86265.284128,16.781450725248078
5651,48,3,1,1,3,1,97977.820087,3,3,4,86161.724363,16.69795515634642
5652,48,3,1,1,3,1,97977.820087,3,3,4,202977.13912,16.781450725248078
5653,48,3,1,1,3,1,97977.820087,3,3,4,102627.72698,16.777570023336384
5654,48,3,1,1,3,1,97977.820087,3,3,4,95274.983671,16.781450725248078
5700,67,2,2,0,5,1,20234.549801,4,3,5,152874.92489,0.6951092569818746
5701,67,2,2,0,5,1,21299.526106,4,3,5,152874.92489,0.7028197957567053
5702,67,2,2,0,5,1,21299.526106,4,3,5,152978.48465,0.7028197957567053
5703,67,2,2,0,5,1,20234.549801,4,3,5,154014.0823,0.6952050233647942
5704,67,2,2,0,5,1,20234.549801,4,3,5,154014.0823,0.6951571408369871
5710,69,2,1,0,6,3,29819.336548,3,3,4,1247480.9275,0.5844487614061262
5713,69,2,1,0,6,3,29819.336548,3,3,4,1440723.4487,0.5997583993696032
5715,49,4,2,2,4,1,290738.53135,2,3,2,239740.85565,10.253417761396413
5717,49,4,2,2,4,1,310973.08115,2,3,2,236634.0627,10.594187536404633
5718,49,4,2,2,4,1,281153.7446,2,3,2,234562.86741,10.059122481736447
5719,49,4,2,2,4,1,273698.91046,2,3,2,238705.258,9.947667764806836
5730,57,4,1,0,5,1,112887.48836,3,3,5,1612943.3377,4.147419682206426
5731,57,4,1,0,5,1,112887.48836,3,3,5,1540451.5023,4.132450650119157
5732,57,4,1,0,5,1,112887.48836,3,3,5,2534625.2449,4.147419682206426
5733,57,4,1,0,5,1,112887.48836,3,3,5,1497991.9987,4.147419682206426
5734,57,4,1,0,5,1,112887.48836,3,3,5,1437927.3351,4.147419682206426
5745,59,4,2,1,5,1,55378.767875,3,3,2,490251.92685,1.5429718866913984
5746,59,4,2,1,5,1,55378.767875,3,3,2,489112.76943,1.502912714606047
5747,59,4,2,1,5,1,55378.767875,3,3,2,489216.3292,1.5131881255813928
5748,59,4,2,1,5,1,55378.767875,3,3,2,490251.92685,1.5370188626879564
5749,59,4,2,1,5,1,55378.767875,3,3,2,489216.3292,1.5424235555555725
5750,41,4,1,2,3,1,420665.64059,3,3,2,2027700.196,8.230497021428949
5751,41,4,1,2,3,1,405755.97232,3,3,2,1993525.4735,8.133784860292913
5752,41,4,1,2,3,1,352507.15705,3,3,2,2084658.0666,7.538288373797917
5753,41,4,1,2,3,1,332272.60725,3,3,2,2092942.8478,7.328225606954819
5754,41,4,1,2,3,1,420665.64059,3,3,2,1987311.8877,8.29805462363418
5790,57,2,1,1,5,4,99042.796392,3,3,1,380633.91574,4.306061022386396
5791,57,2,1,1,5,4,99042.796392,3,3,1,380633.91574,4.284056375652604
5793,57,2,1,1,5,4,99042.796392,3,3,1,380737.47551,4.614161617723399
5801,31,3,2,1,4,1,83068.151813,1,3,3,316892.88047,18.679639854855996
5802,31,3,2,1,4,1,86369.578359,1,3,3,257656.69497,24.879445994228792
5804,31,3,2,1,4,1,83068.151813,1,3,3,165281.38472,26.475859283896106
5805,33,3,1,1,3,1,87328.057034,4,3,4,71456.237753,48.65295333120068
5806,33,3,1,1,3,1,87328.057034,4,3,4,71456.237753,48.65295333120068
5807,33,3,1,1,3,1,87328.057034,4,3,4,71456.237753,48.65295333120068
5808,33,3,1,1,3,1,87328.057034,4,3,4,71456.237753,48.65295333120068
5809,33,3,1,1,3,1,87328.057034,4,3,4,71456.237753,48.65295333120068
5818,54,1,1,1,3,3,15974.644579,4,3,5,46291.214892,5.696805109402556
5825,60,2,1,0,6,3,30884.312854,4,3,4,121372.04442,1.9622293249349605
5826,60,2,1,0,6,3,30884.312854,4,3,4,121475.60418,1.9414402833320348
5827,60,2,1,0,6,3,30884.312854,4,3,4,121475.60418,1.9622293249349605
5828,60,2,1,0,6,3,30884.312854,4,3,4,121475.60418,1.9414402833320348
5829,60,2,1,0,6,3,30884.312854,4,3,4,121372.04442,1.9414402833320348
5830,62,4,1,0,5,2,149096.68274,2,3,2,3235517.7335,1.0919778056431086
5831,62,4,1,0,5,2,149096.68274,2,3,2,3050145.7544,1.0893822020785036
5832,62,4,1,0,5,2,149096.68274,2,3,2,3008721.8485,1.0893822020785036
5833,62,4,1,0,5,2,149096.68274,2,3,2,2875129.7518,1.08933199046353
5834,62,4,1,0,5,2,149096.68274,2,3,2,2706327.3351,1.0893822020785036
5847,63,4,1,0,5,1,287543.60243,3,3,5,1161940.5617,2.428340280488234
5848,63,4,1,0,5,1,288608.57873,3,3,5,862652.84128,2.584409624159882
5850,55,2,1,1,5,1,127797.15664,4,3,4,474303.72306,4.193761785214177
5851,55,2,1,1,5,1,127797.15664,4,3,4,484659.69954,4.241470930387288
5852,55,2,1,1,5,1,127797.15664,4,3,4,488802.09014,4.229257099817586
5853,55,2,1,1,5,1,127797.15664,4,3,4,428737.42652,4.133509883097048
5854,55,2,1,1,5,1,127797.15664,4,3,4,430808.62182,4.219596206220178
5870,42,3,1,3,3,1,85198.104423,3,2,5,168595.29719,19.090551085233304
5891,59,4,1,0,6,3,199150.56909,3,3,4,8624250.098,0.7714131233183552
5892,59,4,1,0,6,3,198085.59278,3,3,4,6946581.9073,0.837154700426487
5893,59,4,1,0,6,3,198085.59278,3,3,4,8624250.098,0.7705198210692388
5894,59,4,1,0,6,3,198085.59278,3,3,4,8624250.098,0.7705198210692388
5899,72,3,2,0,6,3,145901.75383,4,3,2,3411880.0131,1.214430488986351
5920,58,4,1,1,5,2,292868.48396,3,3,3,2928670.1502,3.4510596051891973
5921,58,4,1,1,5,2,292868.48396,3,3,3,2929705.7479,3.405719378925097
5922,58,4,1,1,5,2,292868.48396,3,3,3,2929705.7479,3.405719378925097
5923,58,4,1,1,5,2,292868.48396,3,3,3,2929705.7479,3.3706790237338518
5924,58,4,1,1,5,2,292868.48396,3,3,3,2929705.7479,3.407351597876463
5930,47,4,1,2,3,1,136316.96708,1,3,4,982782.16852,7.5174246231022375
5931,47,4,1,2,3,1,136316.96708,1,3,4,805694.97061,7.6547854297817395
5932,47,4,1,2,3,1,136316.96708,1,3,4,811908.5565,7.435011325706356
5935,54,4,2,2,4,1,39404.123296,3,1,4,243261.88766,3.766155836407047
5937,54,4,2,2,4,1,39404.123296,3,1,4,221928.57609,3.7695161228667295
5938,54,4,2,2,4,1,39404.123296,3,1,4,241915.61071,3.7717666870282125
5939,54,4,2,2,4,1,39404.123296,3,1,4,265423.67734,3.7667145927420775
5990,54,4,1,0,2,1,103302.70161,3,3,2,269990.66297,11.170143286525205
5991,54,4,1,0,2,1,102237.72531,3,3,2,354070.83605,11.03853392269331
5992,54,4,1,0,2,1,102237.72531,3,3,2,334964.05944,11.107773929164097
5993,54,4,1,0,2,1,102237.72531,3,3,2,293695.49314,11.04408937392606
5994,54,4,1,0,2,1,103302.70161,3,3,2,312129.13129,11.205451399336841
6025,57,4,1,0,5,1,2129952.6106,2,3,3,21636223.873,2.3539379266667613
6026,57,4,1,0,5,1,2129952.6106,2,3,3,21626903.494,2.3539379266667613
6027,57,4,1,0,5,1,2129952.6106,2,3,3,21625867.897,2.3539379266667613
6028,57,4,1,0,5,1,2129952.6106,2,3,3,21625867.897,2.3539379266667613
6029,57,4,1,0,5,1,2129952.6106,2,3,3,21637259.471,2.3539379266667613
6040,73,4,1,0,5,1,914814.64625,3,1,1,18234803.396,0.45215000000001343
6041,73,4,1,0,5,1,915879.62255,3,1,1,18233767.799,0.45215000000001343
6042,73,4,1,0,5,1,914814.64625,3,1,1,18234803.396,0.45215000000001343
6043,73,4,1,0,5,1,915879.62255,3,1,1,18233767.799,0.45215000000001343
6044,73,4,1,0,5,1,915879.62255,3,1,1,18234803.396,0.45215000000001343
6070,58,2,1,1,6,3,39404.123296,4,3,2,75909.307642,6.683392894600551
6071,58,2,1,1,6,3,39404.123296,4,3,2,75391.508818,6.868320159679976
6072,58,2,1,1,6,3,39404.123296,4,3,2,77566.26388,6.488737445614884
6073,58,2,1,1,6,3,39404.123296,4,3,2,76530.666231,6.587701699547069
6074,58,2,1,1,6,3,40469.099601,4,3,2,76116.427172,6.579241936122795
6075,63,4,1,2,5,1,187435.82973,2,1,2,7792872.3057,0.7546743777727246
6076,63,4,1,2,5,1,187435.82973,2,1,2,7783551.9268,0.7546743777727246
6077,63,4,1,2,5,1,188500.80604,2,1,2,8479473.5467,0.7547503468275691
6078,63,4,1,2,5,1,188500.80604,2,1,2,8154295.885,0.7547503468275691
6079,63,4,1,2,5,1,187435.82973,2,1,2,8316884.7159,0.7546743777727246
6130,37,4,1,2,3,1,80938.199202,2,2,5,156634.14435,41.250860587865745
6140,30,1,1,4,3,1,44729.004822,4,3,2,17770.85565,49.781198874005064
6141,30,1,1,4,3,1,44729.004822,4,3,2,16735.258001,49.781198874005064
6142,30,1,1,4,3,1,44729.004822,4,3,2,16735.258001,49.781198874005064
6143,30,1,1,4,3,1,44729.004822,4,3,2,16735.258001,49.781198874005064
6144,30,1,1,4,3,1,44729.004822,4,3,2,16735.258001,49.781198874005064
6155,84,4,2,0,6,3,27689.383938,3,3,3,1478885.2221,0.6162768595056252
6156,84,4,2,0,6,3,28754.360243,3,3,3,1513059.9445,0.6150405405415396
6157,84,4,2,0,6,3,31949.289159,3,3,3,1835130.8132,0.5695934579431494
6158,84,4,2,0,6,3,27689.383938,3,3,3,1764710.1731,0.5772871621634225
6159,84,4,2,0,6,3,28754.360243,3,3,3,1841344.3991,0.5685525231707157
6163,65,2,1,0,5,2,266244.07632,4,2,3,2065292.3906,1.5571524319853873
6189,71,4,1,0,5,2,11608241.728,2,3,5,176541437.95,0.9601620886470483
6246,62,4,2,0,5,2,77743.270286,4,3,3,1312620.0196,1.3683630177062225
6247,62,4,2,0,5,2,91587.962255,4,3,3,3803232.3645,1.443766787370167
6248,62,4,2,0,5,2,91587.962255,4,3,3,2132813.3573,1.420654263672527
6249,62,4,2,0,5,2,88393.033339,4,3,3,1307058.8602,1.4429646869622876
6250,60,3,2,0,5,1,44729.004822,3,2,2,221825.01633,3.3697589797933896
6251,60,3,2,0,5,1,44729.004822,3,2,2,230006.23775,3.3513927409729787
6252,60,3,2,0,5,1,44729.004822,3,2,2,228970.6401,3.3549009689600995
6253,60,3,2,0,5,1,44729.004822,3,2,2,227935.04246,3.3724239088050085
6254,60,3,2,0,5,1,44729.004822,3,2,2,230006.23775,3.385497339127157
6275,61,4,1,0,5,2,74548.341371,3,3,4,1320770.1731,1.0989749106199844
6276,61,4,1,0,5,2,74548.341371,3,3,4,1429456.1463,1.0617134022789465
6278,61,4,1,0,5,2,74548.341371,3,3,4,1082541.29,1.2498612821017
6279,61,4,1,0,5,2,74548.341371,3,3,4,1511278.7165,1.1521611642456446
6285,50,4,2,0,1,1,182110.94821,2,3,5,2321499.2489,4.16947666146824
6286,50,4,2,0,1,1,182110.94821,2,3,5,2321499.2489,4.182546085793772
6287,50,4,2,0,1,1,182110.94821,2,3,5,2322534.8465,4.16947666146824
6288,50,4,2,0,1,1,182110.94821,2,3,5,2320463.6512,4.170711304396278
6289,50,4,2,0,1,1,182110.94821,2,3,5,2321499.2489,4.170711304396278
6300,43,4,1,2,3,1,144836.77752,2,3,5,556115.9373,16.716053082171396
6301,43,4,1,2,3,1,145901.75383,2,3,5,556115.9373,16.833489202151164
6302,43,4,1,2,3,1,145901.75383,2,3,5,556115.9373,16.833489202151164
6303,43,4,1,2,3,1,145901.75383,2,3,5,556115.9373,16.776068143007038
6304,43,4,1,2,3,1,145901.75383,2,3,5,556115.9373,16.833489202151164
6320,61,4,1,0,5,2,2034104.7431,3,3,5,86433775.865,0.6410952996151105
6322,61,4,1,0,5,2,2587892.4219,3,3,5,86423419.889,0.6704313136793518
6323,61,4,1,0,5,2,2545293.3697,3,3,5,86433775.865,0.6681746407850729
6324,61,4,1,0,5,2,2204500.952,3,3,5,86433775.865,0.6501215870562317
6330,49,3,1,0,2,2,157616.49318,1,3,1,3098508.1646,1.9276170193048863
6331,49,3,1,0,2,2,157616.49318,1,3,1,3131647.2894,1.9330402281075698
6332,49,3,1,0,2,2,156551.51688,1,3,1,3111970.934,1.9178398098405895
6333,49,3,1,0,2,2,156551.51688,1,3,1,3186533.9647,1.914167955588451
6334,49,3,1,0,2,2,157616.49318,1,3,1,3151323.6447,1.9694144023609836
6345,86,3,1,0,6,3,3354675.3617,3,3,3,12964646.963,0.4846836958416407
6346,86,3,1,0,6,3,3365325.1247,3,3,3,16651374.592,0.48165608976807683
6347,86,3,1,0,6,3,3365325.1247,3,3,3,15253317.766,0.4920760700674216
6348,86,3,1,0,6,3,2928684.8396,3,3,3,14776942.848,0.4823833834225094
6349,86,3,1,0,6,3,3322726.0725,3,3,3,15563997.061,0.5016361044274397
6375,44,4,1,2,3,1,261984.1711,2,3,4,902316.23122,17.922062749269664
6376,44,4,1,2,3,1,261984.1711,2,3,4,903351.82887,17.922062749269664
6377,44,4,1,2,3,1,261984.1711,2,3,4,903351.82887,17.922062749269664
6378,44,4,1,2,3,1,261984.1711,2,3,4,902316.23122,17.922062749269664
6379,44,4,1,2,3,1,261984.1711,2,3,4,903351.82887,17.922062749269664
6427,47,2,2,1,4,1,52183.838959,4,3,5,148732.53429,9.191399527912232
6428,47,2,2,1,4,1,51118.862654,4,3,5,136626.39778,9.209641254313247
6435,67,4,2,0,5,1,30884.312854,3,3,2,7321.6753756,86.33287971409527
6436,67,4,2,0,5,1,30884.312854,3,3,2,7321.6753756,86.33287971409527
6437,67,4,2,0,5,1,30884.312854,3,3,2,7321.6753756,86.33287971409527
6438,67,4,2,0,5,1,31949.289159,3,3,2,7321.6753756,87.8872040588175
6439,67,4,2,0,5,1,30884.312854,3,3,2,7321.6753756,86.33287971409527
6496,54,4,1,3,3,2,919074.55147,2,3,5,6664070.8687,5.343797370034865
6497,54,4,1,3,3,2,922269.48038,2,3,5,6267436.9693,5.448615552606563
6499,54,4,1,3,3,2,919074.55147,2,3,5,6116239.7126,5.322464885327763
6510,42,4,1,1,3,1,69223.459844,3,2,1,364944.61137,8.837048947524844
6511,42,4,1,1,3,1,69223.459844,3,2,1,365980.20901,8.837048947524844
6512,42,4,1,1,3,1,69223.459844,3,2,1,365980.20901,8.837048947524844
6513,42,4,1,1,3,1,69223.459844,3,2,1,365980.20901,8.837048947524844
6514,42,4,1,1,3,1,69223.459844,3,2,1,365980.20901,8.837048947524844
6515,35,2,1,1,3,1,42599.052212,4,2,3,35831.678641,42.01930280527786
6516,35,2,1,1,3,1,42599.052212,4,2,3,35831.678641,42.04290173805677
6517,35,2,1,1,3,1,42599.052212,4,2,3,35728.118877,41.55674967393972
6518,35,2,1,1,3,1,42599.052212,4,2,3,35831.678641,42.01930280527786
6519,35,2,1,1,3,1,42599.052212,4,2,3,35728.118877,42.04290173805677
6530,55,4,1,1,5,2,827486.58921,2,3,2,43902919.595,1.2414736585328991
6531,55,4,1,1,5,2,789147.44222,2,3,2,43707191.639,1.203685557623814
6532,55,4,1,1,5,2,798732.22897,2,3,2,42702144.121,1.2537164097634654
6533,55,4,1,1,5,2,840266.30488,2,3,2,44801196.995,1.2673347840115667
6534,55,4,1,1,5,2,695429.52736,2,3,2,42699969.366,1.237212732971665
6570,39,4,1,3,3,1,167201.27993,3,3,2,764788.86349,31.79552239875567
6573,39,4,1,3,3,1,167201.27993,3,3,2,763753.26584,31.79552239875567
6574,39,4,1,3,3,1,167201.27993,3,3,2,763753.26584,31.79552239875567
6590,42,3,1,1,3,1,72418.38876,4,3,4,115572.69758,23.6449685967021
6593,42,3,1,1,3,1,62833.602012,4,3,4,108913.8047,22.325078459869403
6594,42,3,1,1,3,1,76678.293981,4,3,4,136553.90594,24.67918209026248
6618,44,3,1,0,2,2,79873.222897,3,2,5,69281.482691,55.84011080098224
6625,42,3,2,0,1,1,29819.336548,3,3,4,54679.555846,68.72850660514041
6626,42,3,2,0,1,1,29819.336548,3,3,4,56750.751143,69.33868323861284
6627,42,3,2,0,1,1,29819.336548,3,3,4,55715.153494,68.72850660514041
6628,42,3,2,0,1,1,29819.336548,3,3,4,54679.555846,69.33868323861284
6629,42,3,2,0,1,1,29819.336548,3,3,4,49501.567603,69.33868323861284
6646,83,4,2,0,6,3,2129952.6106,3,3,4,30296409.21,0.6046845949935182
6648,83,4,2,0,6,3,2002155.454,3,3,4,28406443.501,0.5857704560277247
6650,55,3,1,0,5,2,485629.19521,3,3,2,4018325.9961,8.725002824758949
6652,55,3,1,0,5,2,485629.19521,3,3,2,4224513.4879,7.521240022861402
6654,55,3,1,0,5,2,364221.89641,3,3,2,5593470.0196,5.634864273985947
6655,49,4,2,0,1,1,68158.483539,3,3,2,422627.40039,4.702069481904562
6656,49,4,2,0,1,1,68158.483539,3,3,2,422627.40039,4.656785308379121
6657,49,4,2,0,1,1,68158.483539,3,3,2,422627.40039,4.672959268047009
6658,49,4,2,0,1,1,68158.483539,3,3,2,422627.40039,4.677054294806805
6659,49,4,2,0,1,1,68158.483539,3,3,2,422627.40039,4.677054294806805
6660,75,4,1,0,5,1,8966035.5143,1,3,5,80237681.218,0.4582653516379107
6661,75,4,1,0,5,1,9117262.1496,1,3,5,72923141.11,0.4593615149457298
6662,75,4,1,0,5,1,8979880.2062,1,3,5,73782904.634,0.4569365610125698
6663,75,4,1,0,5,1,9058688.4528,1,3,5,85501510.15,0.46309630563487714
6664,75,4,1,0,5,1,9122587.0311,1,3,5,81097424.03,0.46025105976272396
6670,69,2,1,0,6,3,56443.744181,4,3,4,126239.35336,1.096394005384703
6671,69,2,1,0,6,3,33014.265464,4,3,4,111533.86675,1.0368196605568545
6672,69,2,1,0,6,3,36209.19438,4,3,4,108737.7531,1.021398349657332
6673,69,2,1,0,6,3,46858.957433,4,3,4,165902.74331,1.239662140372245
6701,42,2,2,0,1,1,58573.696791,2,3,4,346510.97322,7.839905204561752
6715,47,4,1,2,3,1,127797.15664,4,3,5,135010.86545,24.7754897669757
6716,47,4,1,2,3,1,127797.15664,4,3,5,134648.40627,24.800437320670124
6717,47,4,1,2,3,1,127797.15664,4,3,5,134803.74592,24.789732867310892
6718,47,4,1,2,3,1,127797.15664,4,3,5,134928.01764,24.781182967278614
6719,47,4,1,2,3,1,127797.15664,4,3,5,134710.54213,24.79615325938286
6735,69,4,1,0,6,3,177851.04298,3,3,5,2133331.1561,0.5381582617211464
6736,69,4,1,0,6,3,177851.04298,3,3,5,2135402.3514,0.5393288290579465
6737,69,4,1,0,6,3,177851.04298,3,3,5,2135402.3514,0.5385383774942634
6738,69,4,1,0,6,3,177851.04298,3,3,5,2134366.7538,0.5382379829713537
6739,69,4,1,0,6,3,177851.04298,3,3,5,2134366.7538,0.5400951124187496
6740,67,2,2,0,6,3,25559.431327,3,1,5,546691.99869,1.322031315677271
6741,67,2,2,0,6,3,25559.431327,3,1,5,460116.03527,1.3195504917107095
